name,regisration_number,added_date,websites
1globalcash,,7/13/2012,[]
1Gold.com.my,,7/13/2012,['www.1gold.com.my']
3Sixty Venture Capital PLC,,12/30/2014,['www.empire3sixty.com http://forum.putera.com/tanya/index.php?/topic/92929-3sixty-ventureanda-mahu-income-pasif-rm1500-setiap-hari/']
A.A.M Global Corporation Sdn Bhd,,5/17/2017,[]
Ace Global Sales & Services,,5/2/2013,[]
Ace Dimension Network Sdn Bhd,,4/10/2015,[]
AE Group Holding Pte. Ltd. (201322498-D),,5/14/2015,['http://www.aevfc.com']
Agarwood Venture   (002273031-A),,2/19/2014,[]
Agar Wood Chamber of Commerce Malaysia,,5/21/2015,[]
Ahmad Zulkhairi Associates PLT (LLP0009065),,6/22/2017,['http://www.fx10capital.com\xa0']
Ajuwah Realty Sdn Bhd  (966604-D),,7/25/2014,[]
Ajuwah Agencies Sdn Bhd  (966604-D),,7/25/2014,[]
Ajuwah Consultancy,,5/21/2015,[]
Alpari (Asian) Ltd,,5/21/2014,[]
Al-Saliha Worlwide Sdn. Bhd. (628267-M),,7/13/2012,[]
Amazing Yields Sdn Bhd  (891529-V),,1/23/2013,[]
Amethyst Gold Creation Sdn Bhd  (951063-K),,11/12/2013,"['www.powergoldclub.com www.powergold999.com', 'www.powergold.biz']"
Applikasi Duit,,9/19/2017,"['http://www.aplikasiduit.com\xa0\xa0', 'https://www.facebook.com/aplikasiduitandroid/']"
APS Asia Plantation Sdn Bhd (984575-T),,3/28/2013,[]
Arba Emas Perak   (SA0280035-A),,5/14/2015,['http://www.arbaemasperak.com']
ARS Ultimate Sdn Bhd (1268778 - A),,8/6/2018,[]
Aruna Travel,,9/25/2013,[]
Arribhu Suci Enterpise,,8/28/2017,['http://www.premierfxmarket.com']
Asas Seroja Sdn Bhd (357014A),,12/23/2015,[]
Ascada Kiraana Sdn Bhd (1225011A),,12/6/2017,[]
Asia Equity Ventures (002576131V),,10/10/2018,['www.asian-equity.com']
Ashnik Holdings (M) Sdn Bhd (1124601D),,12/23/2015,[]
Ashnik Trading (002369914-W),,12/23/2015,[]
AsiaLink Globe Capital,,7/25/2014,['www.com-agc.com']
Astral Progress Sdn Bhd  (989294-K),,10/13/2015,[]
Asset Growth Solution Enterprise (002552148 - K),,9/19/2017,"['http://www.aplikasiduit.com\xa0\xa0', 'https://www.facebook.com/aplikasiduitandroid/']"
Atlantic Global Asset Management (AGAM),,8/28/2017,"['https://atlanticgam.es', 'https://private.atlanticgam.es/#/signup/partner=P09201446202971']"
AU Niaga Sdn Bhd (907806-W),,7/13/2012,[]
AU79 International,,7/13/2012,[]
Auto Trading Management,,8/28/2017,['https://www.facebook.com/simplyfxmalaysia/']
Aurawave Marketing Sdn. Bhd,,5/14/2015,['http://www.aurawave2u.com']
Axis Capital Corporation Ltd,,2/19/2014,['www.axiscapitalcorp.com']
Aziera Gold Enterprise (NS0133976-K),,2/25/2016,[]
BC Academy Sdn Bhd,,5/17/2017,['www.bookcoinsmalaysia.com']
BC Bullion Sdn Bhd,,5/17/2017,[]
BDIG Investment Scheme,,7/11/2018,"['https://www.facebook.com/BDIGroupMalaysia/', 'https://www.facebook.com/TeamDoubleProfit/ https://www.facebook.com/smartBDIG/ https://www.facebook.com/BdiGroups-Malaysia-1937078139955774/']"
Berkat FD Sdn Bhd,,5/17/2017,[]
